capture_id,trip_id,entity_id,selected,selected_entity_id,duplicate_count,decision
bart_live_20260912_071605,2002130,2002130,True,2002130,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2002131,2002131,True,2002131,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2002137,2002137,True,2002137,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2002145,2002145,True,2002145,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2002147,2002147,True,2002147,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,2015187,2015187,True,2015187,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,616,616,True,616,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,618,618,True,618,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,620,620,True,620,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,621,621,True,621,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,622,622,True,622,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,623,623,True,623,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,625,625,True,625,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,627,627,True,627,1,selected_newest_stable_tiebreak
bart_live_20260912_071605,629,629,True,629,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000418,2000418,True,2000418,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000419,2000419,True,2000419,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000458,2000458,True,2000458,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000459,2000459,True,2000459,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000460,2000460,True,2000460,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000461,2000461,True,2000461,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000462,2000462,True,2000462,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000529,2000529,True,2000529,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000530,2000530,True,2000530,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000531,2000531,True,2000531,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000532,2000532,True,2000532,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000533,2000533,True,2000533,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000534,2000534,True,2000534,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000535,2000535,True,2000535,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000603,2000603,True,2000603,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000604,2000604,True,2000604,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000605,2000605,True,2000605,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000658,2000658,True,2000658,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000659,2000659,True,2000659,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000660,2000660,True,2000660,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000661,2000661,True,2000661,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000662,2000662,True,2000662,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000843,2000843,True,2000843,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000844,2000844,True,2000844,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000845,2000845,True,2000845,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000846,2000846,True,2000846,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000881,2000881,True,2000881,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000882,2000882,True,2000882,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000883,2000883,True,2000883,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000884,2000884,True,2000884,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000885,2000885,True,2000885,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000969,2000969,True,2000969,1,selected_explicit_cancellation
bart_live_20260912_192815,2000970,2000970,True,2000970,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000971,2000971,True,2000971,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2000972,2000972,True,2000972,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2001025,2001025,True,2001025,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2001026,2001026,True,2001026,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2001027,2001027,True,2001027,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2001028,2001028,True,2001028,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2002093,2002093,True,2002093,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2002094,2002094,True,2002094,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2002176,2002176,True,2002176,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,2002177,2002177,True,2002177,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,400192630,400192630,True,400192630,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,500192710,500192710,True,500192710,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,503190510,503190510,True,503190510,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,631185210,631185210,True,631185210,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,633191710,633191710,True,633191710,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,690,690,True,690,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,692,692,True,692,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,693,693,True,693,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,694,694,True,694,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,695,695,True,695,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,696,696,True,696,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,697,697,True,697,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,699,699,True,699,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,701,701,True,701,1,selected_newest_stable_tiebreak
bart_live_20260912_192815,905192510,905192510,True,905192510,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019532,2019532,True,2019532,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019533,2019533,True,2019533,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019569,2019569,True,2019569,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019570,2019570,True,2019570,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019571,2019571,True,2019571,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019572,2019572,True,2019572,1,selected_newest_stable_tiebreak
