capture_id,source_path,request_time,station,prediction_count
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\mcar.xml,2026-09-11T18:58:17-07:00,MCAR,18
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\mlbr.xml,2026-09-11T18:58:17-07:00,MLBR,2
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\mlpt.xml,2026-09-11T18:58:17-07:00,MLPT,6
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\mont.xml,2026-09-11T18:58:17-07:00,MONT,24
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\nbrk.xml,2026-09-11T18:58:17-07:00,NBRK,8
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\ncon.xml,2026-09-11T18:58:17-07:00,NCON,10
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\orin.xml,2026-09-11T18:58:17-07:00,ORIN,10
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\pctr.xml,2026-09-11T18:58:17-07:00,PCTR,6
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\phil.xml,2026-09-11T18:58:17-07:00,PHIL,10
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\pitt.xml,2026-09-11T18:58:17-07:00,PITT,6
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\plza.xml,2026-09-11T18:58:17-07:00,PLZA,8
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\powl.xml,2026-09-11T18:58:17-07:00,POWL,24
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\rich.xml,2026-09-11T18:58:17-07:00,RICH,4
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\rock.xml,2026-09-11T18:58:17-07:00,ROCK,10
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\sanl.xml,2026-09-11T18:58:17-07:00,SANL,12
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\sbrn.xml,2026-09-11T18:58:17-07:00,SBRN,13
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\sfia.xml,2026-09-11T18:58:17-07:00,SFIA,7
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\shay.xml,2026-09-11T18:58:17-07:00,SHAY,7
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\ssan.xml,2026-09-11T18:58:17-07:00,SSAN,13
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\ucty.xml,2026-09-11T18:58:17-07:00,UCTY,7
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\warm.xml,2026-09-11T18:58:17-07:00,WARM,6
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\wcrk.xml,2026-09-11T18:58:17-07:00,WCRK,10
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\wdub.xml,2026-09-11T18:58:17-07:00,WDUB,5
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819\etd\woak.xml,2026-09-11T18:58:17-07:00,WOAK,24
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\12th.xml,2026-09-12T07:16:02-07:00,12TH,15
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\16th.xml,2026-09-12T07:16:02-07:00,16TH,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\19th.xml,2026-09-12T07:16:03-07:00,19TH,15
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\24th.xml,2026-09-12T07:16:03-07:00,24TH,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\antc.xml,2026-09-12T07:16:03-07:00,ANTC,3
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\ashb.xml,2026-09-12T07:16:02-07:00,ASHB,9
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\balb.xml,2026-09-12T07:16:03-07:00,BALB,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\bayf.xml,2026-09-12T07:16:03-07:00,BAYF,13
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\bery.xml,2026-09-12T07:16:02-07:00,BERY,3
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\cast.xml,2026-09-12T07:16:02-07:00,CAST,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\civc.xml,2026-09-12T07:16:02-07:00,CIVC,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\colm.xml,2026-09-12T07:16:03-07:00,COLM,11
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\cols.xml,2026-09-12T07:16:03-07:00,COLS,13
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\conc.xml,2026-09-12T07:16:02-07:00,CONC,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\daly.xml,2026-09-12T07:16:03-07:00,DALY,14
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\dbrk.xml,2026-09-12T07:16:02-07:00,DBRK,9
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\deln.xml,2026-09-12T07:16:03-07:00,DELN,8
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\dubl.xml,2026-09-12T07:16:03-07:00,DUBL,2
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\embr.xml,2026-09-12T07:16:03-07:00,EMBR,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\frmt.xml,2026-09-12T07:16:02-07:00,FRMT,0
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\ftvl.xml,2026-09-12T07:16:02-07:00,FTVL,12
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\glen.xml,2026-09-12T07:16:02-07:00,GLEN,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\hayw.xml,2026-09-12T07:16:02-07:00,HAYW,7
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\lafy.xml,2026-09-12T07:16:03-07:00,LAFY,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\lake.xml,2026-09-12T07:16:03-07:00,LAKE,12
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\mcar.xml,2026-09-12T07:16:02-07:00,MCAR,15
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\mlbr.xml,2026-09-12T07:16:03-07:00,MLBR,2
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\mlpt.xml,2026-09-12T07:16:03-07:00,MLPT,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\mont.xml,2026-09-12T07:16:03-07:00,MONT,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\nbrk.xml,2026-09-12T07:16:03-07:00,NBRK,8
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\ncon.xml,2026-09-12T07:16:03-07:00,NCON,5
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\orin.xml,2026-09-12T07:16:03-07:00,ORIN,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\pctr.xml,2026-09-12T07:16:02-07:00,PCTR,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\phil.xml,2026-09-12T07:16:03-07:00,PHIL,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\pitt.xml,2026-09-12T07:16:03-07:00,PITT,5
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\plza.xml,2026-09-12T07:16:02-07:00,PLZA,8
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\powl.xml,2026-09-12T07:16:02-07:00,POWL,17
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\rich.xml,2026-09-12T07:16:02-07:00,RICH,4
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\rock.xml,2026-09-12T07:16:02-07:00,ROCK,6
